selection_rank,sample_id,pair_key,language,label,raw_relative_path,raw_audio_sha256,decoded_relative_path,decoded_audio_sha256,duration_s,peak,rms_dbfs,clipped_fraction,dc_offset,speech_seconds,speech_segment_count,audio_fingerprint_v1,preparation_status,eligibility_status,rejection_reason,historical_raw_exact_match_count,historical_decoded_exact_match_count,historical_near_match_count,within_pool_near_match_count
12,common_voice_ru_v24:common_voice_ru_25825195,ru:012:51a1aaf11a8b2fef7540b013f2a4b7a4d94e03466476de69b99ecafd7f06bdf8,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_25825195.mp3,d8f51608fd68d52a75312606af83ca8ecdc1191c4dfa234908e41c662b7017ee,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/d8/d8f51608fd68d52a75312606af83ca8ecdc1191c4dfa234908e41c662b7017ee.wav,4f6ce1e875c6c06e7063516ebf10f8f8976c8cb981f2c6577b95f0253056b9ff,9.468,0.63275146484375,-17.796465601512836,0.0,7.639708879581221e-05,8.82,1,0000000ffeffffff000de3ef0008ffff01f037bfcd321033fe546fc0ff0098c0,ready,eligible,,0,0,0,0
13,common_voice_ru_v24:common_voice_ru_35120451,ru:013:224bb25a02b4e29474bdec300c45fdd4bc9598b8ad1e67590abc820418f3611e,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_35120451.mp3,7735e80768e7250bc5950dccf526ddd06b729eb634c83ca877294218c4f7fc2c,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/77/7735e80768e7250bc5950dccf526ddd06b729eb634c83ca877294218c4f7fc2c.wav,22374c22025725f4a4ed3b33315238ee8655b67673bbd6a19af06614153580e6,6.48,0.92620849609375,-21.13387189450122,0.0,9.680059221055773e-05,5.07,1,fffeeff4000fdc79d3e00040bffd3e83fff0fd1e028f000763fbfc00013f0000,ready,eligible,,0,0,0,0
14,common_voice_ru_v24:common_voice_ru_19028853,ru:014:e3c8f81cd7d9341c903b6eb12856bf8ed5ce34f9d8b47f96656a627c9491bf92,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19028853.mp3,19f6083f79bba29faff78ded0df97fe5d43f37e69bfc1a24152e6918699f41a5,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/19/19f6083f79bba29faff78ded0df97fe5d43f37e69bfc1a24152e6918699f41a5.wav,483013c80c944d3962aa33b41bbb5523265c52918b9e8c434ee1aca93d5878e3,7.224,0.77301025390625,-20.992499481603595,0.0,-3.0355464052388306e-05,5.82,2,cfc0fff7001ff83f000f0078ffff06f40030fffeff08f7ef3801ffc301800000,ready,eligible,,0,0,0,0
15,common_voice_ru_v24:common_voice_ru_19340547,ru:015:fe5d3b40dcb6ac04cfd68699fb176cc3dcd8c44486748e8bc981340a1aa1cd35,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19340547.mp3,1dc8cadba918060e5ac46f9a6a2b781cb594c59742fd4bb208b32e06f5e2e26b,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/1d/1dc8cadba918060e5ac46f9a6a2b781cb594c59742fd4bb208b32e06f5e2e26b.wav,10f78672f91653057ad5c7b16cc062168e1bc8ce369b23789892789f917b5b9e,6.984,0.76629638671875,-17.841908247313103,0.0,-9.38194860434341e-05,6.18,1,00000000fffffffb03dfff98fc3ffcfcbc20ffe24337000ffffc00c702410100,ready,eligible,,0,0,0,0
16,common_voice_ru_v24:common_voice_ru_26872131,ru:016:51724825eda871a1ea4f420ecf77e1e9189f018803236199a45c374799fa4588,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_26872131.mp3,885e891144acadd361de65a2844f9b333fcf48aae635cef208f329111175f215,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/88/885e891144acadd361de65a2844f9b333fcf48aae635cef208f329111175f215.wav,de41b2fccf9a181e2495089771a4c3615f583f47fe9f793c68aafd4368e38907,6.336,0.52825927734375,-22.468391929785625,0.0,8.338629597365254e-07,4.53,1,0bff0ae81fe0fff351f76607fc18001d83e00ff7fd98b40ffe40013ff00ee000,ready,eligible,,0,0,0,0
17,common_voice_ru_v24:common_voice_ru_39325259,ru:017:e431b2c5c88e0b1d72786a0530c6ee0449d05992c76e8060b935e8b525def872,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_39325259.mp3,826d5f7996faaf86de1b0162b0ca58b78ba733842ecf9bf478188c9b19e6fac5,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/82/826d5f7996faaf86de1b0162b0ca58b78ba733842ecf9bf478188c9b19e6fac5.wav,95833e0f2e581c395104376e3e3dfb390bd055c791022e1249dd8e4651e273ca,2.52,0.301788330078125,-33.56964009174106,0.0,5.610027010478671e-06,0.72,1,000f001f0000000003fefff5ffe0ffe0fffff7bff0ffc01f3ffb0f403c00c800,insufficient_speech,rejected,insufficient_speech,0,0,0,0
18,common_voice_ru_v24:common_voice_ru_37512917,ru:018:002ea0799d2c44d7795bca1e865607d0276615cb54c62342b08edb4fd76348e9,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_37512917.mp3,b2a3fff6b375e7d914901fedc58ce9126e970a54511d7b0664028cc07cd6ea3e,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/b2/b2a3fff6b375e7d914901fedc58ce9126e970a54511d7b0664028cc07cd6ea3e.wav,996137e726ae4f3fa5af5787bd7d658cff59af131956b9dbfa9cbb8fdff7c7c4,4.608,0.699310302734375,-27.69004040195798,0.0,-3.0968752172258166e-05,2.64,2,0121fe3ff800fffd7dfe35ff00030bff46e46fc493df8003ee38ffd890020000,ready,eligible,,0,0,0,0
19,common_voice_ru_v24:common_voice_ru_30644732,ru:019:e33b3a271fc485932c9fe7b21d1db05fcfa05e977b1c2585b2f8261b5234ab74,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_30644732.mp3,864209a73731cc632801e586b69bba1de4841a69ed3a246987a62d5cc163706a,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/86/864209a73731cc632801e586b69bba1de4841a69ed3a246987a62d5cc163706a.wav,12d07db2c25c568786242eb4e6010e1a4d5006650d2bc1c3d839a690481c476a,3.276,0.189666748046875,-35.80788917005998,0.0,-2.6636507921603135e-06,1.2,1,001f001fff7f3c3ffe3fffffc7c600f001e00380ffcdfffbffc0f82000000000,insufficient_speech,rejected,insufficient_speech,0,0,0,0
20,common_voice_ru_v24:common_voice_ru_19483323,ru:020:b5986a376aa9075db06c71c56fa5692932de64969a2d7cd6211856dba6962847,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19483323.mp3,7481fecf45ad55115a6887712636610e6c88163a10b7d6fe9c60bf314f254ced,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/74/7481fecf45ad55115a6887712636610e6c88163a10b7d6fe9c60bf314f254ced.wav,32f347dc4aa25012e773c4bb45e6a9e86cf902ffc4101a9bfc421c4f8fa3143d,5.064,0.30029296875,-28.880638092710996,0.0,-2.9385372360735708e-05,2.64,2,01fcfff9fc00c27f000f681f001f9fc03fee073307ffffe6fe81f9f0f0000000,ready,eligible,,0,0,0,0
21,common_voice_ru_v24:common_voice_ru_27301850,ru:021:924d3585aa578035a9ef2edfff9a0b31140950e4f8b50a2d699ff7fdc71d06e7,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_27301850.mp3,51ef38d9ccfee924f0114881eafc3af28cd05fd8ce01b94007661eace040208f,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/51/51ef38d9ccfee924f0114881eafc3af28cd05fd8ce01b94007661eace040208f.wav,962a0d64da0be7d74879d17fde6fe9d3edf5d070fff964e2053f39d15ac674f4,9.396,0.01910400390625,-52.47033113330551,0.0,4.3644099196965463e-07,5.37,3,d7c5ffff04f7fff90004dc38f800fc120030006027fcffcffbda03a7000f2b0b,ready,eligible,,0,0,0,0
22,common_voice_ru_v24:common_voice_ru_27788661,ru:022:2b1ac2405bdcf1781ec9d3300657887b74d1ffba637753bdb050addb1f2d0147,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_27788661.mp3,a8fc3d08d83a30ca283ebb498cebd7b3d79e1f40414f00b2e380e5cdf6363057,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/a8/a8fc3d08d83a30ca283ebb498cebd7b3d79e1f40414f00b2e380e5cdf6363057.wav,7b4a1eedde476aaaf3d50670926937e8fc6189ade4149e59abebda17fdc7863e,6.408,0.1424560546875,-41.56541200481125,0.0,-5.7190693868382294e-06,3.21,1,fffdfe3dfc1dfffeefea0007dff20c20001f03c803c3f1e2fff03004001f0001,ready,eligible,,0,0,0,0
23,common_voice_ru_v24:common_voice_ru_25437816,ru:023:f21ac791c88cd2c40e2f870aa0d082483d8a056dbb88637d375578ccaed0feb4,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_25437816.mp3,1fbfd1952fc6b91c0dd42ec24e3fa37099bea503d540fc1aa91ac092c300e123,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/1f/1fbfd1952fc6b91c0dd42ec24e3fa37099bea503d540fc1aa91ac092c300e123.wav,f84875678069e98ad81d270c5406fd0aaefbd612af23a42b8c1edb40d2be1d2e,2.52,0.653839111328125,-24.74264342940841,0.0,5.3610120500837055e-05,1.5,1,fc00ffbffffffff71b80ffdbfffeffff006fe7f7001d00680000000000000000,insufficient_speech,rejected,insufficient_speech,0,0,0,0
24,common_voice_ru_v24:common_voice_ru_24552623,ru:024:510922e5113273f2aa8052fbf6c6eba7b7298310bf15f937f42028a063c3d74a,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_24552623.mp3,a30f9f65e3fe742f10ae5c3b593213d847ce10605eb6f49b0dbef94e424fc297,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/a3/a30f9f65e3fe742f10ae5c3b593213d847ce10605eb6f49b0dbef94e424fc297.wav,8f0d6645f48ce798227589f591722b18f8781211734303324db46d3fe5c2224e,10.08,0.501739501953125,-28.30422336903233,0.0,-4.274655902196491e-05,7.92,2,fffffe600000d01f7c970007ffe78740fff8f9b8fff82100000f0fff02ff0000,ready,eligible,,0,0,0,0
25,common_voice_ru_v24:common_voice_ru_25288760,ru:025:a76638c1e33be58a7d530ffdd73598bbe97c7dee1402e04457aa789474f93d31,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_25288760.mp3,87e89429f947b64b53c3327e03e9593703bca6f50dabca6190d2f4b27a72ca4e,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/87/87e89429f947b64b53c3327e03e9593703bca6f50dabca6190d2f4b27a72ca4e.wav,ca4574adc43337888570419b9e08c5d6ecc48aa86b7472a40bf7124b30ee6625,3.06,0.772613525390625,-19.299363382888835,0.0,4.173727596507353e-06,2.13,1,00077ffffff17fbe37ffec406fbac03fe81f81ffffc011cc9e40922000000001,insufficient_speech,rejected,insufficient_speech,0,0,0,0
26,common_voice_ru_v24:common_voice_ru_31498465,ru:026:e6f94669fe23635053070aceca58eadfb7aab0af8d3ad21671586e9a83a6218b,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_31498465.mp3,333d0e8b67345fed180f2094d351766aab5d500381a50a0f0f0c9acf44f0592b,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/33/333d0e8b67345fed180f2094d351766aab5d500381a50a0f0f0c9acf44f0592b.wav,00c39b2dbb22d361e93713224c8b7f9859f7a73bc19f6dc76966be7716200813,4.032,0.23114013671875,-32.94367715544346,0.0,5.447628006102547e-05,2.88,2,ff63f80f03ff03efdc3cfc54388800000016c7fffffffff8fff3278100000000,ready,eligible,,0,0,0,0
27,common_voice_ru_v24:common_voice_ru_19862898,ru:027:a97e6c25a76ef60f7c52e1b77d3be50e7963ff59b412f11d6e867358859f8fa3,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19862898.mp3,1d55b24d23e462165edf8e1f33c3455762a2748d5b497d12fe171e90cb0b484f,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/1d/1d55b24d23e462165edf8e1f33c3455762a2748d5b497d12fe171e90cb0b484f.wav,30dfbd43f9a69c82235b2a15ee7c97b2582e1945e939e5901f0bd616330bf20c,6.168,0.894256591796875,-18.76267177006084,0.0,-5.108218557949041e-06,4.74,1,0000000000037ffcffffffffe03fdfffffffffff00009003bd1c6fe002c00000,ready,eligible,,0,0,0,0
28,common_voice_ru_v24:common_voice_ru_25810226,ru:028:eea6a57fd72be50d01e044174e7a93e51247a7190b574b0eb3194abf76ed5de0,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_25810226.mp3,68828189930899527f287d02e9308be94223a28e6b3c012dfee6a2d15736de0b,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/68/68828189930899527f287d02e9308be94223a28e6b3c012dfee6a2d15736de0b.wav,a6d4399ca94530dd69601d90a005017da22b547425e7fc72c4ef613fd29da6af,8.1,0.81500244140625,-20.37868563852379,0.0,-3.8902847855179397e-05,6.6,1,fffffffcffffd8dffe30ff7f003e0000ffc0df8003832000000321ed047f0000,ready,eligible,,0,0,0,0
29,common_voice_ru_v24:common_voice_ru_19580102,ru:029:26e2395fdba06124301f7e2adb28bda79834cebe15417d845d53f41ead3a3a25,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19580102.mp3,cee925b3a87d701a13fa0dc948c2b346296c2b3a440f64ed1f5bec55fae37f7d,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/ce/cee925b3a87d701a13fa0dc948c2b346296c2b3a440f64ed1f5bec55fae37f7d.wav,414a7921fc8bb5658fd28e4bbc8fd20f6f3ade48ebd75d64ef5216ce1fc0338c,2.856,0.853240966796875,-17.477964282290767,0.0,-8.208411080496652e-06,2.3760000000000003,2,0000000000cf1ffffffbffffffffffffffffff3ffff4e0000000000000000000,insufficient_speech,rejected,insufficient_speech,0,0,0,0
30,common_voice_ru_v24:common_voice_ru_19867152,ru:030:b0e5ef3f486f5895e9d0753165a159d3d887530a9a281f7bba7f66b8a86a40a8,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19867152.mp3,70c26bde2331f18d2bcf778dd64bb0837284cec6f2c94f88ddffaa39acbba50b,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/70/70c26bde2331f18d2bcf778dd64bb0837284cec6f2c94f88ddffaa39acbba50b.wav,18e561e50b2519e6ac440eaa76d1214c403c529977817040a019c17d16dbebf3,6.984,0.794830322265625,-15.275882657360489,0.0,7.259012770680082e-05,6.33,1,d040ffd4009c37fa102337fcc8076fed8b1c0023efe3c06f3f9c7fdbfc138020,ready,eligible,,0,0,0,0
31,common_voice_ru_v24:common_voice_ru_20209757,ru:031:8944d6795f1101b56be6c72487054e4f7ef1aaa372cd78bbcc85f3d80bcfeeac,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_20209757.mp3,8211ebf47f8c2104142080a26cf935edea0814f3b2ac80170b127146390f032b,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/82/8211ebf47f8c2104142080a26cf935edea0814f3b2ac80170b127146390f032b.wav,2e7d34fb639a4e9dd43217feb19f1b057d8c71814892ea25773edbd2fb6e0a63,5.544,0.648529052734375,-18.715969570251325,0.0,-4.575056431097386e-05,4.08,1,0000007132ff243f7fffffdefde37e1fcffc3f3ee3ed83c0d880dd0080030000,ready,eligible,,0,0,0,0
32,common_voice_ru_v24:common_voice_ru_19532721,ru:032:d3b3065c081ed3cf4a62679b4790c668b357449c9299ad9bf3eea3df21f11606,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19532721.mp3,38934126daf8453e6fb56c1859338ba2ee435b031532acf2e76f96088b4544f6,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/38/38934126daf8453e6fb56c1859338ba2ee435b031532acf2e76f96088b4544f6.wav,c90d8adc079fcf339335aefd55981f6c8b34b31eee9f09b7a7388c136e6ef491,6.072,0.801483154296875,-17.755333743195344,0.0,-0.0001702553669925735,5.13,1,103ffabf074087c7ffe0fffc001f07e47ff20003000be83ffc19fff0f9c0000c,ready,eligible,,0,0,0,0
33,common_voice_ru_v24:common_voice_ru_27636188,ru:033:893c50f6da3359ce53fce04f75c8946ccddf649513f026076a74023a561db1f9,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_27636188.mp3,c72dd8c263ee4743a4af0fb2a762f578e9f0b109008bfefaab6cf9b3b0b58afc,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/c7/c72dd8c263ee4743a4af0fb2a762f578e9f0b109008bfefaab6cf9b3b0b58afc.wav,017d7717165ad54ea5c004e485de4493449d470f0185c47772730f05b236ee52,5.688,0.645660400390625,-25.855207624196012,0.0,-1.5733614249571467e-06,4.8,2,00000020ffffffffffff5f8eff680210bfe10000fddf00ffeff0f007001f0000,ready,eligible,,0,0,0,0
34,common_voice_ru_v24:common_voice_ru_18878654,ru:034:f07c2ed11ec6ea012ec52accaaf53769c6637dcef2c5a12b39dba347fdb2c9d9,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_18878654.mp3,d17a231aab0e34d8d16a18777629353dadefec9d6d33d756e0df1d5e3a2ccb0b,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/d1/d17a231aab0e34d8d16a18777629353dadefec9d6d33d756e0df1d5e3a2ccb0b.wav,304113edf0624b6a8c1c778d6a3dfc03368edc299dfe19a33e03749a867967a7,7.296,0.679931640625,-20.929867684980422,0.0,-1.2180000020746598e-05,6.24,1,081f0df61a9f1bf87e3f9ff834ef9b1c4001e003fd60e7f0e00007c7f7efe000,ready,eligible,,0,0,0,0
