selection_rank,target_state,candidate_id,pair_id,generator_route_id,generator_family,source_component,archive_transcript_member,transcript_relative_path,transcript_file_sha256,transcript_size_bytes,text_hash,canonical_text_hash,normalized_utf8_bytes,normalized_characters,status
11,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_53_106,v4:kk:Train/radio/01_53_106,kk-mms-kaz-v1,mms_vits_tts,Train/radio,ISSAI_KSC2/Train/radio/01_53_106.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_53_106.txt,c7ff69c52487a2fa9a1f89c899ccec4ff265cef1a182d2f8fae1485cf0e2f302,44,c7ff69c52487a2fa9a1f89c899ccec4ff265cef1a182d2f8fae1485cf0e2f302,c7ff69c52487a2fa9a1f89c899ccec4ff265cef1a182d2f8fae1485cf0e2f302,44,23,verified_for_synthesis
12,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_55_261,v4:kk:Train/radio/01_55_261,kk-piper-issai-high-v1,piper_neural_tts,Train/radio,ISSAI_KSC2/Train/radio/01_55_261.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_55_261.txt,08a438a039c2bfa9962adea4a2020b8689c12a9b2ab57b52d7cbb467204fa26c,40,08a438a039c2bfa9962adea4a2020b8689c12a9b2ab57b52d7cbb467204fa26c,08a438a039c2bfa9962adea4a2020b8689c12a9b2ab57b52d7cbb467204fa26c,40,21,verified_for_synthesis
13,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_06_123,v4:kk:Train/talkshow/01_06_123,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_06_123.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_06_123.txt,eef672432682b5bbd1ce59d1b90f3acdd008bd50ff5607c822e276b542a3c402,85,eef672432682b5bbd1ce59d1b90f3acdd008bd50ff5607c822e276b542a3c402,eef672432682b5bbd1ce59d1b90f3acdd008bd50ff5607c822e276b542a3c402,85,46,verified_for_synthesis
14,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_10_141,v4:kk:Train/parliament/senate_10_141,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_10_141.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_10_141.txt,d545f369fc55c71c9574e68f33c488b5f2419383012f1f2b67d4c998dd913f36,42,d545f369fc55c71c9574e68f33c488b5f2419383012f1f2b67d4c998dd913f36,d545f369fc55c71c9574e68f33c488b5f2419383012f1f2b67d4c998dd913f36,42,23,verified_for_synthesis
15,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5fe2a620d7c82,v4:kk:Train/tv_news/5fe2a620d7c82,kk-mms-kaz-v1,mms_vits_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5fe2a620d7c82.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5fe2a620d7c82.txt,9a521bf336fe16eea2d6ace9e87968f4eb03c545fd8306239b67236d89f90cd0,67,9a521bf336fe16eea2d6ace9e87968f4eb03c545fd8306239b67236d89f90cd0,9a521bf336fe16eea2d6ace9e87968f4eb03c545fd8306239b67236d89f90cd0,67,35,verified_for_synthesis
16,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_20_355,v4:kk:Train/parliament/mazhilis_20_355,kk-piper-issai-high-v1,piper_neural_tts,Train/parliament,ISSAI_KSC2/Train/parliament/mazhilis_20_355.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/mazhilis_20_355.txt,db931b09375c2548dcf282ef969d197ac2bcbdd1a83a06f51c99968a6d81e292,144,db931b09375c2548dcf282ef969d197ac2bcbdd1a83a06f51c99968a6d81e292,db931b09375c2548dcf282ef969d197ac2bcbdd1a83a06f51c99968a6d81e292,144,76,verified_for_synthesis
17,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/01_01_433,v4:kk:Train/podcasts/01_01_433,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/01_01_433.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/01_01_433.txt,40ea052d783c20a4568e2df47e9f647ea6d3a609149d0493a7fbe7cfed03ab02,247,40ea052d783c20a4568e2df47e9f647ea6d3a609149d0493a7fbe7cfed03ab02,40ea052d783c20a4568e2df47e9f647ea6d3a609149d0493a7fbe7cfed03ab02,247,134,verified_for_synthesis
18,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_14_163,v4:kk:Train/parliament/mazhilis_14_163,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/parliament,ISSAI_KSC2/Train/parliament/mazhilis_14_163.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/mazhilis_14_163.txt,de08f9a0d80221f03569a088ed66f31316b10d5f7b6ca6d0dd119aee2661eb44,262,de08f9a0d80221f03569a088ed66f31316b10d5f7b6ca6d0dd119aee2661eb44,de08f9a0d80221f03569a088ed66f31316b10d5f7b6ca6d0dd119aee2661eb44,262,142,verified_for_synthesis
19,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_04_025,v4:kk:Train/talkshow/01_04_025,kk-mms-kaz-v1,mms_vits_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_04_025.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_04_025.txt,a80ff4e4bdca68a3dfa96339c1a91d0ade37c9ba3211ace24a1ee4108f47d107,156,a80ff4e4bdca68a3dfa96339c1a91d0ade37c9ba3211ace24a1ee4108f47d107,a80ff4e4bdca68a3dfa96339c1a91d0ade37c9ba3211ace24a1ee4108f47d107,156,83,verified_for_synthesis
20,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_05_360,v4:kk:Train/talkshow/01_05_360,kk-piper-issai-high-v1,piper_neural_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_05_360.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_05_360.txt,78827aa18009ff8e87ea5703c48bf4945e38806b2db1fefb2c7c77672ffb3a8f,158,78827aa18009ff8e87ea5703c48bf4945e38806b2db1fefb2c7c77672ffb3a8f,78827aa18009ff8e87ea5703c48bf4945e38806b2db1fefb2c7c77672ffb3a8f,158,85,verified_for_synthesis
21,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_11_114,v4:kk:Train/parliament/senate_11_114,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_11_114.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_11_114.txt,e5f105de44f471248372b791237ce95762345f01b5a958ca8eacd48190335ba5,65,e5f105de44f471248372b791237ce95762345f01b5a958ca8eacd48190335ba5,e5f105de44f471248372b791237ce95762345f01b5a958ca8eacd48190335ba5,65,34,verified_for_synthesis
22,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5f834dacb4722,v4:kk:Train/tv_news/5f834dacb4722,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5f834dacb4722.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5f834dacb4722.txt,794403f24286fe7f75deb32b1d69eb7b9e553c41249172a77b43fb0029c65b05,220,794403f24286fe7f75deb32b1d69eb7b9e553c41249172a77b43fb0029c65b05,794403f24286fe7f75deb32b1d69eb7b9e553c41249172a77b43fb0029c65b05,220,117,verified_for_synthesis
23,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_24_460,v4:kk:Train/parliament/mazhilis_24_460,kk-mms-kaz-v1,mms_vits_tts,Train/parliament,ISSAI_KSC2/Train/parliament/mazhilis_24_460.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/mazhilis_24_460.txt,0a4dcc1f01c8bb7ec7267b1e6bdb215ef7e474524d0c1d8c469a864e1cacd3e6,246,0a4dcc1f01c8bb7ec7267b1e6bdb215ef7e474524d0c1d8c469a864e1cacd3e6,0a4dcc1f01c8bb7ec7267b1e6bdb215ef7e474524d0c1d8c469a864e1cacd3e6,246,131,verified_for_synthesis
24,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_10_314,v4:kk:Train/parliament/senate_10_314,kk-piper-issai-high-v1,piper_neural_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_10_314.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_10_314.txt,8a5c5edac21c7f594b74b8c6020f8d5ef218ed8ce8384f03f2d309705774f1a4,144,8a5c5edac21c7f594b74b8c6020f8d5ef218ed8ce8384f03f2d309705774f1a4,8a5c5edac21c7f594b74b8c6020f8d5ef218ed8ce8384f03f2d309705774f1a4,144,79,verified_for_synthesis
25,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_12_325,v4:kk:Train/talkshow/01_12_325,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_12_325.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_12_325.txt,3ebe058d121e54ea452176d0a0b143bdf2f86b1df8a7e570ea962e7d30c212ab,228,3ebe058d121e54ea452176d0a0b143bdf2f86b1df8a7e570ea962e7d30c212ab,3ebe058d121e54ea452176d0a0b143bdf2f86b1df8a7e570ea962e7d30c212ab,228,124,verified_for_synthesis
26,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/08_04_080,v4:kk:Train/podcasts/08_04_080,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/08_04_080.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/08_04_080.txt,2801923fd9dfd92886a1c09ff1893881b51a7eca1b5c62c0136d93a0e9bd0ac4,171,2801923fd9dfd92886a1c09ff1893881b51a7eca1b5c62c0136d93a0e9bd0ac4,2801923fd9dfd92886a1c09ff1893881b51a7eca1b5c62c0136d93a0e9bd0ac4,171,93,verified_for_synthesis
27,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/04_03_340,v4:kk:Train/podcasts/04_03_340,kk-mms-kaz-v1,mms_vits_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/04_03_340.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/04_03_340.txt,57bf8f1bf47f329ffa3c9fb5ee6f9901480992136eee24d8fbf0d181bbce9022,294,57bf8f1bf47f329ffa3c9fb5ee6f9901480992136eee24d8fbf0d181bbce9022,57bf8f1bf47f329ffa3c9fb5ee6f9901480992136eee24d8fbf0d181bbce9022,294,156,verified_for_synthesis
28,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_03_809,v4:kk:Train/parliament/mazhilis_03_809,kk-piper-issai-high-v1,piper_neural_tts,Train/parliament,ISSAI_KSC2/Train/parliament/mazhilis_03_809.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/mazhilis_03_809.txt,22d10094229c3dacae0f665ff8a9e51474883330137b00963c6a43f862ede08c,74,22d10094229c3dacae0f665ff8a9e51474883330137b00963c6a43f862ede08c,22d10094229c3dacae0f665ff8a9e51474883330137b00963c6a43f862ede08c,74,39,verified_for_synthesis
29,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/08_08_034,v4:kk:Train/podcasts/08_08_034,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/08_08_034.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/08_08_034.txt,83e6e777a0a6bcb67028c3aed5196d25f6cf33c815b51f623c9693eb6080abb5,110,83e6e777a0a6bcb67028c3aed5196d25f6cf33c815b51f623c9693eb6080abb5,83e6e777a0a6bcb67028c3aed5196d25f6cf33c815b51f623c9693eb6080abb5,110,60,verified_for_synthesis
30,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_57_641,v4:kk:Train/radio/01_57_641,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/radio,ISSAI_KSC2/Train/radio/01_57_641.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_57_641.txt,f42f140f31d49d0ed0fdbeb63f2ea0cee97877fff7449ffc9f94960f4e77225a,315,f42f140f31d49d0ed0fdbeb63f2ea0cee97877fff7449ffc9f94960f4e77225a,f42f140f31d49d0ed0fdbeb63f2ea0cee97877fff7449ffc9f94960f4e77225a,315,168,verified_for_synthesis
31,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5f71cef9ca785,v4:kk:Train/tv_news/5f71cef9ca785,kk-mms-kaz-v1,mms_vits_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5f71cef9ca785.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5f71cef9ca785.txt,46f6cd98785493491f2f7d7f5defd4903a2ebe773d6b4769993b7247a8c4c08b,94,46f6cd98785493491f2f7d7f5defd4903a2ebe773d6b4769993b7247a8c4c08b,46f6cd98785493491f2f7d7f5defd4903a2ebe773d6b4769993b7247a8c4c08b,94,51,verified_for_synthesis
32,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_27_538,v4:kk:Train/parliament/mazhilis_27_538,kk-piper-issai-high-v1,piper_neural_tts,Train/parliament,ISSAI_KSC2/Train/parliament/mazhilis_27_538.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/mazhilis_27_538.txt,917a1a9368d060aa17a64283fad0938537f357c21713b1c3bf7cd3a80dc4dde8,223,917a1a9368d060aa17a64283fad0938537f357c21713b1c3bf7cd3a80dc4dde8,917a1a9368d060aa17a64283fad0938537f357c21713b1c3bf7cd3a80dc4dde8,223,118,verified_for_synthesis
33,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_24_266,v4:kk:Train/talkshow/01_24_266,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_24_266.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_24_266.txt,ab477c3eb889424eee5bda35287b29cbc0906e651fbdf94e9f72ae68b3540513,194,ab477c3eb889424eee5bda35287b29cbc0906e651fbdf94e9f72ae68b3540513,ab477c3eb889424eee5bda35287b29cbc0906e651fbdf94e9f72ae68b3540513,194,103,verified_for_synthesis
34,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_17_2_181,v4:kk:Train/parliament/mazhilis_17_2_181,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/parliament,ISSAI_KSC2/Train/parliament/mazhilis_17_2_181.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/mazhilis_17_2_181.txt,eb9c7b19e512c32c8e36e27a7eaa543749ce2c64420e3b68c4a086073284d585,202,eb9c7b19e512c32c8e36e27a7eaa543749ce2c64420e3b68c4a086073284d585,eb9c7b19e512c32c8e36e27a7eaa543749ce2c64420e3b68c4a086073284d585,202,109,verified_for_synthesis
35,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_53_536,v4:kk:Train/radio/01_53_536,kk-mms-kaz-v1,mms_vits_tts,Train/radio,ISSAI_KSC2/Train/radio/01_53_536.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_53_536.txt,7a25f6288a2730212e42989b906a751023bba8e70b333f5a1c7c6bd23a283bc1,32,7a25f6288a2730212e42989b906a751023bba8e70b333f5a1c7c6bd23a283bc1,7a25f6288a2730212e42989b906a751023bba8e70b333f5a1c7c6bd23a283bc1,32,17,verified_for_synthesis
36,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_52_130,v4:kk:Train/radio/01_52_130,kk-piper-issai-high-v1,piper_neural_tts,Train/radio,ISSAI_KSC2/Train/radio/01_52_130.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_52_130.txt,d295bd245a6e6cbe2273ef23cf48f03fbd7af94e1de2b67d6a27fee73fc02dcd,163,d295bd245a6e6cbe2273ef23cf48f03fbd7af94e1de2b67d6a27fee73fc02dcd,d295bd245a6e6cbe2273ef23cf48f03fbd7af94e1de2b67d6a27fee73fc02dcd,163,89,verified_for_synthesis
37,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_78_055,v4:kk:Train/talkshow/01_78_055,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_78_055.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_78_055.txt,608676f8f5b4e4d212578d904367cf1d9c63aa72b4d38a37f893c162dd4ae1ef,60,608676f8f5b4e4d212578d904367cf1d9c63aa72b4d38a37f893c162dd4ae1ef,608676f8f5b4e4d212578d904367cf1d9c63aa72b4d38a37f893c162dd4ae1ef,60,32,verified_for_synthesis
38,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5f71ce6176210,v4:kk:Train/tv_news/5f71ce6176210,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5f71ce6176210.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5f71ce6176210.txt,f905ba584816d6ed64a06424a06c86f02dde2245d46285e23cb35bbd5d08246b,76,f905ba584816d6ed64a06424a06c86f02dde2245d46285e23cb35bbd5d08246b,f905ba584816d6ed64a06424a06c86f02dde2245d46285e23cb35bbd5d08246b,76,40,verified_for_synthesis
39,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_81_317,v4:kk:Train/talkshow/01_81_317,kk-mms-kaz-v1,mms_vits_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_81_317.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_81_317.txt,fb948bbae2943060aa271f0ef9e35bb2cb92e2d930d96a2b7e59e6a8e7fb4f0b,182,fb948bbae2943060aa271f0ef9e35bb2cb92e2d930d96a2b7e59e6a8e7fb4f0b,fb948bbae2943060aa271f0ef9e35bb2cb92e2d930d96a2b7e59e6a8e7fb4f0b,182,98,verified_for_synthesis
40,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_83_384,v4:kk:Train/radio/01_83_384,kk-piper-issai-high-v1,piper_neural_tts,Train/radio,ISSAI_KSC2/Train/radio/01_83_384.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_83_384.txt,0d47bd51a67222d4995693963daa6a8991e3eeb27dfba0e4110a3c1768686186,176,0d47bd51a67222d4995693963daa6a8991e3eeb27dfba0e4110a3c1768686186,0d47bd51a67222d4995693963daa6a8991e3eeb27dfba0e4110a3c1768686186,176,95,verified_for_synthesis
41,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_30_211,v4:kk:Train/radio/01_30_211,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/radio,ISSAI_KSC2/Train/radio/01_30_211.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_30_211.txt,ea8fa35375aa157a8fc8692d13dadb5715f032724847f551e197d49305114ff5,40,ea8fa35375aa157a8fc8692d13dadb5715f032724847f551e197d49305114ff5,ea8fa35375aa157a8fc8692d13dadb5715f032724847f551e197d49305114ff5,40,22,verified_for_synthesis
42,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/06_01_303,v4:kk:Train/podcasts/06_01_303,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/06_01_303.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/06_01_303.txt,c500f2a1689cd5601f943ca7764e30bd9860528e4503c41e843b484c5951deb1,315,c500f2a1689cd5601f943ca7764e30bd9860528e4503c41e843b484c5951deb1,c500f2a1689cd5601f943ca7764e30bd9860528e4503c41e843b484c5951deb1,315,169,verified_for_synthesis
43,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_17_1_249,v4:kk:Train/parliament/mazhilis_17_1_249,kk-mms-kaz-v1,mms_vits_tts,Train/parliament,ISSAI_KSC2/Train/parliament/mazhilis_17_1_249.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/mazhilis_17_1_249.txt,dbc01fd970ef67a7d9c11965acac746f509db0a81401a2e3d08505d93a2fe9cb,481,dbc01fd970ef67a7d9c11965acac746f509db0a81401a2e3d08505d93a2fe9cb,dbc01fd970ef67a7d9c11965acac746f509db0a81401a2e3d08505d93a2fe9cb,481,255,verified_for_synthesis
